m,n,q,M0,M1
369,12,23,9975,9990
369,12,23,9983,9994
370,12,23,9988,9990
370,12,23,9980,9991
371,12,23,9982,9993
371,12,23,9980,9988
372,12,23,9987,9995
372,12,23,9976,9992
373,12,23,9981,9983
373,12,23,9977,9987
374,12,23,9983,9983
374,12,23,9969,9986
375,12,23,9980,9985
375,12,23,9974,9986
376,12,23,9986,9994
377,12,23,9984,9989
378,12,23,9982,9990
379,12,23,9978,9992
380,12,23,9981,9995
381,12,23,9976,9990
382,12,23,9976,9992
383,12,23,9979,9992
384,12,23,9983,9984
385,12,23,9973,9979
386,12,23,9975,9994
387,12,23,9985,9990
388,12,23,9981,9982
389,12,23,9982,9989
390,12,23,9974,9995
391,12,23,9982,9984
392,12,23,9972,9989
393,12,23,9982,9985
394,12,23,9982,9981
395,12,23,9980,9994
396,12,23,9980,9988
397,12,23,9983,9991
398,12,23,9980,9990
399,12,23,9981,9988
400,12,23,9987,9990
401,12,23,9988,9986
402,12,23,9985,9988
403,12,23,9987,9993
404,12,23,9982,9994
405,12,23,9981,9988
406,12,23,9987,9983
407,12,23,9985,9984
408,12,23,9977,9989
409,12,23,9971,9993
410,12,23,9974,9986
411,12,23,9983,9990
412,12,23,9979,9988
413,12,23,9976,9977
414,12,23,9980,9990
415,12,23,9981,9996
416,12,23,9982,9996
417,12,23,9978,9990
418,12,23,9987,9984
419,12,23,9990,9993
420,12,23,9979,9994
421,12,23,9981,9987
422,12,23,9977,9987
423,12,23,9985,9988
424,12,23,9979,9992
425,12,23,9978,9994
426,12,23,9988,9990
427,12,23,9987,9991
428,12,23,9986,9988
429,12,23,9976,9985
430,12,23,9978,9989
431,12,23,9976,9989
432,12,23,9981,9992
433,12,23,9984,9983
434,12,23,9981,9992
435,12,23,9982,9991
436,12,23,9977,9991
437,12,23,9982,9987
438,12,23,9980,9990
439,12,23,9976,9980
440,12,23,9983,9993
441,12,23,9981,9985
444,12,23,9977,9989
445,12,23,9980,9991
446,12,23,9985,9988
447,12,23,9972,9990
448,12,23,9979,9992
449,12,23,9984,9990
450,12,23,9979,9994
451,12,23,9983,9991
452,12,23,9974,9981
453,12,23,9986,9985
454,12,23,9974,9979
455,12,23,9986,9996
456,12,23,9981,9991
457,12,23,9976,9991
458,12,23,9985,9990
459,12,23,9983,9990
460,12,23,9970,9989
461,12,23,9983,9994
462,12,23,9977,9988
463,12,23,9982,9990
464,12,23,9981,9993
465,12,23,9980,9986
466,12,23,9978,9992
467,12,23,9977,9981
468,12,23,9980,9992
469,12,23,9979,9987
470,12,23,9975,9989
471,12,23,9985,9988
472,12,23,9975,9990
473,12,23,9981,9987
474,12,23,9983,9993
475,12,23,9974,9983
476,12,23,9974,9992
477,12,23,9971,9990
478,12,23,9980,9984
479,12,23,9985,9990
480,12,23,9981,9984
481,12,23,9974,9992
482,12,23,9976,9992
483,12,23,9974,9990
484,12,23,9986,9986
485,12,23,9984,9991
486,12,23,9978,9990
486,12,23,9978,9988
487,12,23,9980,9986
487,12,23,9986,9986
488,12,23,9987,9989
488,12,23,9985,9990
489,12,23,9981,9990
489,12,23,9981,9988
490,12,23,9981,9998
490,12,23,9975,9990
491,12,23,9971,9988
491,12,23,9975,9991
492,12,23,9988,9992
492,12,23,9978,9989
493,12,23,9974,9986
493,12,23,9981,9984
494,12,23,9984,9989
494,12,23,9983,9988
495,12,23,9980,9993
495,12,23,9980,9993
496,12,23,9978,9989
496,12,23,9986,9993
497,12,23,9985,9986
497,12,23,9979,9992
498,12,23,9976,9991
498,12,23,9972,9987
499,12,23,9977,9990
499,12,23,9984,9992
500,12,23,9984,9982
500,12,23,9970,9984
