m,n,q,M0,M1
349,12,23,9983,9984
69,12,23,9976,9994
1097,12,23,9978,9988
214,12,23,9979,9994
144,12,23,9974,9988
282,12,23,9986,9991
415,12,23,9981,9996
68,12,23,9973,9986
480,12,23,9981,9984
348,12,23,9984,9987
143,12,23,9979,9993
213,12,23,9986,9986
67,12,23,9984,9990
281,12,23,9990,9986
66,12,23,9980,9981
414,12,23,9980,9990
142,12,23,9979,9984
212,12,23,9975,9987
479,12,23,9985,9990
347,12,23,9978,9986
65,12,23,9984,9986
280,12,23,9984,9995
141,12,23,9963,9990
1096,12,23,9981,9991
211,12,23,9979,9989
64,12,23,9983,9988
413,12,23,9976,9977
140,12,23,9985,9986
346,12,23,9975,9986
478,12,23,9980,9984
279,12,23,9975,9991
210,12,23,9973,9990
139,12,23,9975,9991
278,12,23,9978,9989
412,12,23,9979,9988
345,12,23,9983,9987
138,12,23,9987,9989
209,12,23,9983,9989
477,12,23,9971,9990
137,12,23,9985,9991
277,12,23,9985,9993
208,12,23,9987,9984
1095,12,23,9982,9991
344,12,23,9983,9991
411,12,23,9983,9990
136,12,23,9982,9987
476,12,23,9974,9992
207,12,23,9977,9990
276,12,23,9980,9985
135,12,23,9988,9991
1692,12,23,9979,9991
343,12,23,9982,9989
410,12,23,9974,9986
206,12,23,9976,9997
275,12,23,9975,9992
134,12,23,9975,9984
475,12,23,9974,9983
342,12,23,9978,9989
205,12,23,9974,9990
133,12,23,9977,9992
1094,12,23,9978,9989
409,12,23,9971,9993
274,12,23,9976,9985
132,12,23,9977,9985
204,12,23,9985,9990
474,12,23,9983,9993
341,12,23,9990,9998
273,12,23,9976,9989
131,12,23,9978,9986
408,12,23,9977,9989
203,12,23,9978,9989
130,12,23,9973,9985
340,12,23,9977,9988
272,12,23,9986,9992
473,12,23,9981,9987
202,12,23,9979,9988
1691,12,23,9985,9985
1093,12,23,9985,9990
129,12,23,9986,9989
407,12,23,9985,9984
339,12,23,9984,9988
201,12,23,9981,9986
271,12,23,9982,9984
128,12,23,9970,9990
472,12,23,9975,9990
406,12,23,9987,9983
200,12,23,9978,9986
127,12,23,9981,9994
270,12,23,9975,9987
338,12,23,9979,9990
199,12,23,9981,9987
471,12,23,9985,9988
269,12,23,9982,9989
405,12,23,9981,9988
1092,12,23,9983,9993
337,12,23,9985,9989
198,12,23,9979,9987
268,12,23,9984,9988
1690,12,23,9987,9988
470,12,23,9975,9989
404,12,23,9982,9994
197,12,23,9981,9988
336,12,23,9985,9988
267,12,23,9983,9986
196,12,23,9977,9991
335,12,23,9979,9988
403,12,23,9987,9993
469,12,23,9979,9987
1091,12,23,9981,9990
266,12,23,9985,9990
195,12,23,9985,9984
334,12,23,9982,9987
402,12,23,9985,9988
265,12,23,9981,9989
194,12,23,9973,9988
468,12,23,9980,9992
2286,12,23,9972,9990
193,12,23,9983,9989
333,12,23,9979,9981
264,12,23,9982,9986
1689,12,23,9976,9993
401,12,23,9988,9986
467,12,23,9977,9981
192,12,23,9981,9988
1090,12,23,9979,9988
263,12,23,9985,9988
332,12,23,9979,9990
191,12,23,9979,9990
400,12,23,9987,9990
262,12,23,9984,9990
466,12,23,9978,9992
331,12,23,9981,9988
190,12,23,9984,9993
261,12,23,9977,9984
399,12,23,9981,9988
330,12,23,9980,9985
465,12,23,9980,9986
1089,12,23,9981,9990
260,12,23,9975,9988
1688,12,23,9981,9987
398,12,23,9980,9990
329,12,23,9983,9988
2285,12,23,9977,9988
464,12,23,9981,9993
259,12,23,9978,9992
328,12,23,9980,9993
397,12,23,9983,9991
258,12,23,9979,9990
1088,12,23,9980,9987
463,12,23,9982,9990
327,12,23,9980,9986
396,12,23,9980,9988
257,12,23,9980,9988
462,12,23,9977,9988
326,12,23,9988,9985
256,12,23,9981,9989
395,12,23,9980,9994
1687,12,23,9978,9988
2880,12,23,9969,9993
255,12,23,9978,9986
325,12,23,9980,9993
461,12,23,9983,9994
1087,12,23,9987,9992
394,12,23,9982,9981
2284,12,23,9979,9987
254,12,23,9983,9989
324,12,23,9976,9993
460,12,23,9970,9989
393,12,23,9982,9985
253,12,23,9977,9997
323,12,23,9985,9988
392,12,23,9972,9989
459,12,23,9983,9990
1086,12,23,9979,9989
1686,12,23,9980,9986
322,12,23,9989,9986
391,12,23,9982,9984
458,12,23,9985,9990
321,12,23,9972,9991
390,12,23,9974,9995
320,12,23,9982,9986
457,12,23,9976,9991
1085,12,23,9976,9990
2283,12,23,9979,9985
2879,12,23,9984,9996
319,12,23,9981,9989
389,12,23,9982,9989
1685,12,23,9980,9992
456,12,23,9981,9991
318,12,23,9984,9992
388,12,23,9981,9982
455,12,23,9986,9996
1084,12,23,9974,9994
317,12,23,9977,9994
387,12,23,9985,9990
3474,12,23,9983,9984
316,12,23,9987,9983
454,12,23,9974,9979
386,12,23,9975,9994
1684,12,23,9979,9989
2282,12,23,9977,9988
453,12,23,9986,9985
1083,12,23,9981,9991
385,12,23,9973,9979
452,12,23,9974,9981
2878,12,23,9979,9994
384,12,23,9983,9984
451,12,23,9983,9991
1082,12,23,9978,9987
383,12,23,9979,9992
1683,12,23,9978,9986
450,12,23,9979,9994
382,12,23,9976,9992
2281,12,23,9974,9988
381,12,23,9976,9990
449,12,23,9984,9990
1081,12,23,9977,9987
3473,12,23,9976,9990
380,12,23,9981,9995
448,12,23,9979,9992
1682,12,23,9983,9993
4068,12,23,9980,9987
379,12,23,9978,9992
2877,12,23,9971,9993
447,12,23,9972,9990
1080,12,23,9983,9986
446,12,23,9985,9988
2280,12,23,9979,9990
445,12,23,9980,9991
1079,12,23,9984,9987
1681,12,23,9982,9993
444,12,23,9977,9989
3472,12,23,9982,9985
