m,n,q,M0,M1
4,604,23,4775,5312
4,605,23,4813,5206
4,606,23,4871,5273
4,607,23,4768,5218
4,608,23,4729,5134
4,609,23,4770,5163
4,610,23,4796,5233
4,611,23,4787,5259
4,612,23,4684,5254
4,613,23,4791,5238
4,614,23,4758,5210
4,615,23,4748,5167
4,616,23,4743,5293
4,617,23,4757,5230
4,618,23,4775,5291
4,619,23,4805,5260
4,620,23,4821,5281
4,621,23,4835,5195
4,622,23,4775,5184
4,623,23,4751,5291
4,624,23,4772,5212
4,625,23,4869,5193
4,626,23,4753,5316
4,627,23,4761,5126
4,628,23,4857,5182
4,629,23,4834,5117
4,630,23,4764,5147
4,631,23,4765,5141
4,632,23,4772,5284
4,633,23,4820,5276
4,634,23,4796,5242
4,635,23,4838,5196
4,636,23,4813,5248
4,637,23,4756,5199
4,638,23,4844,5186
4,639,23,4792,5325
4,640,23,4836,5187
4,641,23,4831,5226
4,642,23,4765,5199
4,643,23,4778,5330
4,644,23,4787,5257
4,645,23,4830,5160
4,646,23,4801,5160
4,647,23,4776,5228
4,648,23,4892,5210
4,649,23,4727,5198
4,650,23,4799,5220
4,651,23,4837,5215
4,652,23,4811,5175
4,653,23,4742,5265
4,654,23,4891,5298
4,655,23,4705,5221
4,656,23,4843,5166
4,657,23,4759,5289
4,658,23,4850,5297
4,659,23,4860,5180
4,660,23,4844,5259
4,661,23,4728,5206
4,662,23,4808,5276
4,663,23,4792,5200
4,664,23,4777,5189
4,665,23,4814,5225
4,666,23,4820,5268
4,667,23,4808,5195
4,668,23,4707,5278
4,669,23,4745,5237
4,670,23,4781,5261
4,671,23,4768,5251
4,672,23,4731,5173
4,673,23,4722,5167
4,674,23,4799,5202
4,675,23,4721,5193
4,676,23,4808,5217
4,677,23,4949,5191
4,678,23,4771,5256
4,679,23,4811,5221
4,680,23,4760,5223
4,681,23,4745,5227
4,682,23,4824,5341
4,683,23,4842,5191
4,684,23,4801,5285
4,685,23,4786,5248
4,686,23,4813,5293
4,687,23,4738,5231
4,688,23,4859,5209
4,689,23,4805,5215
4,690,23,4734,5229
4,691,23,4703,5295
4,692,23,4739,5228
4,693,23,4824,5230
4,694,23,4745,5176
4,695,23,4792,5261
4,696,23,4812,5160
4,697,23,4764,5283
4,698,23,4798,5340
4,699,23,4829,5246
4,700,23,4752,5233
4,701,23,4773,5228
4,702,23,4746,5187
4,703,23,4805,5208
4,704,23,4774,5278
4,705,23,4715,5250
4,706,23,4721,5155
4,707,23,4723,5193
4,708,23,4825,5293
4,709,23,4839,5177
4,710,23,4835,5201
4,711,23,4846,5276
4,712,23,4775,5201
4,713,23,4844,5182
4,714,23,4800,5216
4,715,23,4754,5262
4,716,23,4834,5219
4,717,23,4704,5218
4,718,23,4718,5256
4,719,23,4772,5192
4,720,23,4798,5249
4,721,23,4749,5172
4,722,23,4772,5187
4,723,23,4722,5218
4,724,23,4801,5239
4,725,23,4750,5189
4,726,23,4761,5235
4,727,23,4774,5178
4,728,23,4799,5181
4,729,23,4799,5214
4,730,23,4780,5183
4,731,23,4718,5201
4,732,23,4759,5270
4,733,23,4811,5248
4,734,23,4776,5242
4,735,23,4737,5218
4,736,23,4837,5233
4,737,23,4825,5215
4,738,23,4860,5225
4,739,23,4692,5206
4,740,23,4813,5225
4,741,23,4755,5194
4,742,23,4787,5268
4,743,23,4756,5246
4,744,23,4808,5274
4,745,23,4747,5238
4,746,23,4863,5308
4,747,23,4736,5212
4,748,23,4696,5278
4,749,23,4804,5251
4,750,23,4749,5216
4,751,23,4783,5260
4,752,23,4781,5192
4,753,23,4766,5198
4,754,23,4731,5214
4,755,23,4764,5258
4,756,23,4789,5267
4,757,23,4845,5210
4,758,23,4766,5320
4,759,23,4818,5271
4,760,23,4875,5181
4,761,23,4757,5218
4,762,23,4857,5183
4,763,23,4803,5329
4,764,23,4740,5274
4,765,23,4728,5249
4,766,23,4818,5311
4,767,23,4769,5127
4,768,23,4813,5136
4,769,23,4834,5172
4,770,23,4657,5250
4,771,23,4848,5245
4,772,23,4858,5247
4,773,23,4753,5193
4,774,23,4617,5190
4,775,23,4813,5272
4,776,23,4853,5181
4,777,23,4640,5223
4,778,23,4749,5240
4,779,23,4725,5169
4,780,23,4849,5200
4,781,23,4789,5127
4,782,23,4879,5201
4,783,23,4808,5249
4,784,23,4835,5229
4,785,23,4797,5219
4,786,23,4815,5223
4,787,23,4702,5205
4,788,23,4902,5245
4,789,23,4771,5204
4,790,23,4862,5237
4,791,23,4794,5212
4,792,23,4792,5171
4,793,23,4756,5158
4,794,23,4843,5170
4,795,23,4830,5172
4,796,23,4735,5244
4,797,23,4825,5226
4,798,23,4821,5225
4,799,23,4715,5150
4,800,23,4792,5204
4,801,23,4680,5171
4,802,23,4824,5214
4,803,23,4806,5279
4,804,23,4770,5154
4,805,23,4847,5246
4,806,23,4831,5235
4,807,23,4779,5231
4,808,23,4794,5132
4,809,23,4734,5149
4,810,23,4814,5116
4,811,23,4773,5231
4,812,23,4772,5185
4,813,23,4845,5279
4,814,23,4863,5289
4,815,23,4743,5283
4,816,23,4762,5232
4,817,23,4769,5274
4,818,23,4795,5198
4,819,23,4799,5282
4,820,23,4811,5138
4,821,23,4797,5199
4,822,23,4823,5227
4,823,23,4777,5280
4,824,23,4699,5222
4,825,23,4826,5267
4,826,23,4798,5196
4,827,23,4744,5225
4,828,23,4808,5223
4,829,23,4799,5214
4,830,23,4767,5181
4,831,23,4766,5198
4,832,23,4771,5291
4,833,23,4779,5273
4,834,23,4817,5225
4,835,23,4750,5253
4,836,23,4885,5268
4,837,23,4710,5188
4,838,23,4828,5119
4,839,23,4760,5192
4,840,23,4817,5211
4,841,23,4831,5175
4,842,23,4826,5219
4,843,23,4761,5167
4,844,23,4794,5225
4,845,23,4897,5205
4,846,23,4873,5273
4,847,23,4729,5182
4,848,23,4808,5233
4,849,23,4798,5263
4,850,23,4863,5251
4,851,23,4742,5235
4,852,23,4770,5251
4,853,23,4809,5198
4,854,23,4810,5253
4,855,23,4756,5263
4,856,23,4779,5220
4,857,23,4766,5243
4,858,23,4791,5186
4,859,23,4776,5292
4,860,23,4732,5254
4,861,23,4825,5183
4,862,23,4733,5178
4,863,23,4811,5253
4,864,23,4803,5289
4,865,23,4799,5259
4,866,23,4763,5252
4,867,23,4791,5175
4,868,23,4717,5193
4,869,23,4773,5234
4,870,23,4791,5192
4,871,23,4790,5129
4,872,23,4746,5141
4,873,23,4763,5286
4,874,23,4835,5228
4,875,23,4822,5263
4,876,23,4768,5284
4,877,23,4741,5222
4,878,23,4743,5226
4,879,23,4844,5174
4,880,23,4769,5196
4,881,23,4738,5180
4,882,23,4738,5201
4,883,23,4764,5259
4,884,23,4810,5232
4,885,23,4779,5224
4,886,23,4771,5196
4,887,23,4779,5259
4,888,23,4727,5226
4,889,23,4747,5252
4,890,23,4765,5182
4,891,23,4792,5280
4,892,23,4783,5225
4,893,23,4913,5244
4,894,23,4745,5237
4,895,23,4877,5250
4,896,23,4835,5221
4,897,23,4735,5199
4,898,23,4731,5181
4,899,23,4761,5229
4,900,23,4800,5173
4,901,23,4848,5237
4,902,23,4681,5290
4,903,23,4750,5196
4,904,23,4739,5292
4,905,23,4810,5224
4,906,23,4722,5271
4,907,23,4811,5190
4,908,23,4784,5173
4,909,23,4724,5205
4,910,23,4764,5317
4,911,23,4841,5278
4,912,23,4830,5208
4,913,23,4771,5253
4,914,23,4806,5280
4,915,23,4785,5177
4,916,23,4796,5294
4,917,23,4809,5172
4,918,23,4755,5215
4,919,23,4817,5159
4,920,23,4796,5282
4,921,23,4780,5139
4,922,23,4826,5187
4,923,23,4870,5240
4,924,23,4719,5165
4,925,23,4906,5218
4,926,23,4717,5172
4,927,23,4753,5166
4,928,23,4831,5207
4,929,23,4739,5230
4,930,23,4841,5227
4,931,23,4689,5263
4,932,23,4815,5287
4,933,23,4764,5134
4,934,23,4767,5178
4,935,23,4822,5255
4,936,23,4812,5342
4,937,23,4722,5132
4,938,23,4760,5178
4,939,23,4757,5197
4,940,23,4768,5223
4,941,23,4715,5200
4,942,23,4739,5196
4,943,23,4821,5198
4,944,23,4671,5215
4,945,23,4843,5213
4,946,23,4815,5255
4,947,23,4771,5189
4,948,23,4731,5192
4,949,23,4722,5144
4,950,23,4777,5186
4,951,23,4706,5220
4,952,23,4833,5096
4,953,23,4751,5180
4,954,23,4853,5176
4,955,23,4784,5159
4,956,23,4837,5235
4,957,23,4733,5222
4,958,23,4791,5234
4,959,23,4783,5223
4,960,23,4805,5251
4,961,23,4876,5272
4,962,23,4776,5122
4,963,23,4714,5168
4,964,23,4811,5185
4,965,23,4763,5180
4,966,23,4782,5248
4,967,23,4857,5256
4,968,23,4776,5203
4,969,23,4721,5237
4,970,23,4818,5205
4,971,23,4821,5135
4,972,23,4744,5087
4,973,23,4772,5163
4,974,23,4890,5237
4,975,23,4749,5286
4,976,23,4777,5197
4,977,23,4795,5115
4,978,23,4794,5111
4,979,23,4762,5256
4,980,23,4831,5144
4,981,23,4750,5066
4,982,23,4713,5239
4,983,23,4738,5263
4,984,23,4703,5182
4,985,23,4740,5247
4,986,23,4858,5179
4,987,23,4776,5319
4,988,23,4766,5188
4,989,23,4810,5093
4,990,23,4844,5180
4,991,23,4740,5278
4,992,23,4813,5226
4,993,23,4837,5256
4,994,23,4741,5334
4,995,23,4790,5216
4,996,23,4747,5211
4,997,23,4895,5280
4,998,23,4782,5261
4,999,23,4738,5190
4,1000,23,4848,5358
